Name,Vectornator,Linearity Curve ID,Lists,,,
artboard,,artboards,artboards,,,
layer,layers,layerIds,layers,,,
element,elements,elementIds,elements,,,
localTransform,localTransform,localTransformId,localTransforms,,,
guideLayer,guideLayer,last layer,,,,
image,image,images,multiple,,,
image Data,imageData,imageDataId,imageDatas,,,
fill,fill/fillColor/fillGradient,fillId,fills,,,
strokeStyle,strokeStyle,strokeStyleId,pathStrokeStyles/strokeStyles,,,
fillTransform,fillTransform,fillTransformId,fillTransforms(old),,,
guideLine,guideLine,guideLine_0,guideLines,,,
group,group,group_0,groups,,,
stylable,stylable,stylable_0,stylables,,,
path,path,path_0,paths,,,
