自分用 Vectornator externalVersionIDs
externalVersion,displayVersion,
838337057,3.5.4,
839386911,3.5.5,
839490023,3.5.6,
839581605,3.5.7,
839732603,3.5.8,
840163725,3.5.9,
840247570,3.5.10,
840318532,3.5.11,
840378145,3.5.12,
840451109,3.5.13,
840747051,3.5.14,
840768810,3.5.15,
840874568,3.5.16,
841098468,4.0.0,
841135604,4.0.1,
841253770,4.0.2,
841442281,4.0.3,
841991529,4.1.0,
842081266,4.1.1,
842116926,4.1.2,
842369339,4.1.3,
842423707,4.1.5,
842707741,4.1.6,
842850302,4.1.7,
842972785,4.2.0,
843173573,4.2.1,
843337159,4.2.2,
843663192,4.2.3,
843881943,4.2.4,
843901847,4.2.5,
844080352,4.3.0,
844243811,4.3.0,
844337919,4.4.0,
844749078,4.4.0,
844817700,4.4.1,
844946273,4.4.2,
845263045,4.4.3,
845816910,4.4.4,
845854074,4.4.4,
845923373,4.5.0,
846123866,4.5.1,
846143765,4.5.1,
846388987,4.5.2,
846706358,4.5.3,
846861199,4.5.3,
846990567,4.5.4,
847303359,4.6.0,
847455841,4.6.1,
847495993,4.6.2,
847776563,4.6.3,
847927017,4.6.4,
847983111,4.6.4,
847985403,4.6.4,
848052191,4.7.0,
848223983,4.7.1,
848675805,4.7.2,
848954593,4.8.0,
849228339,4.8.1,
849412353,4.8.2,
850373519,4.8.3,
850807256,4.8.4,
851126137,4.8.5,
851427635,4.9.0,
851577798,4.10.0,
851986165,4.10.1,
852117744,4.10.2,
852471141,4.10.3,
852705194,4.10.4,
852860226,4.10.5,
852991226,4.10.6,
853099062,4.11.0,
853210547,4.11.1,
853229478,4.11.2,
853496996,4.11.3,
853559833,4.11.4,
853725695,4.11.5,
853861323,4.12.0,
854102777,4.12.1,
854366292,4.12.1,
854446027,4.12.2,
854690592,4.13.0,
854735606,4.13.0,
854958564,4.13.1,
855163763,4.13.2,
855509430,4.13.3,
855781672,4.13.4,
857291127,4.13.5,
857350816,4.13.5,
857553223,4.13.6,
857770200,4.13.7,
858484269,5.0.0,
858853131,5.0.1,
858931663,5.0.2,
859028879,5.0.3,
859204827,5.1.0,
859728103,5.1.1,
860189543,5.1.2,
860512322,5.2.0,
860607306,5.2.1,
860768406,5.2.2,
861022875,5.2.3,
861161630,5.2.4,
861276961,5.2.5,
861528397,5.2.6,
862207060,5.3.0,
863084965,5.3.1,
863201745,5.3.2,
863305321,5.3.3,
863361416,5.4.0,
863863053,5.4.0,
863887804,5.4.0,
864063021,5.4.1,
864390216,5.4.2,
864883953,5.4.3,
864994825,5.4.4,
865124291,5.4.5,
865235448,5.4.6,
865449324,5.4.7,
865766698,5.4.8,
865964845,5.5.0,
865979962,5.5.0,
866144348,5.5.1,
866156938,5.5.1,
866322990,5.6.0,
866468878,5.6.1,
866521452,5.6.2,
866597959,5.6.3,
866946190,5.6.4,
867526935,5.7.0,
867541315,5.7.1,
867735796,5.7.1,
868211782,5.8.0,
868410278,5.9.0,
868625228,5.10.0,
869047797,5.11.0,
869277172,5.12.0,
869624996,5.13.0,
869866027,5.14.0,
870240402,5.15.0,
870463537,5.15.1,
870562913,5.16.0,
870762939,5.16.1,
870982825,5.17.0,
871117554,5.18.0,
871175301,5.18.1,
871208013,5.18.2,
871233221,5.18.3,
871438546,5.18.4,
871724863,5.19.0,
871932982,5.20.0,
872376505,5.21.0,
872559802,5.22.0,
872794643,5.23.0,
873066739,5.24.0,
873376945,5.25.0,
873406932,5.25.0,
873425795,5.25.1,
873469616,5.26.0,
873946317,5.27.0,
874246220,5.28.0,
874623316,5.29.0,
875027249,5.30.0,
875259098,5.31.0,
875432571,5.32.0,
875810786,5.33.0,
876339459,5.34.0,
876671832,5.35.0,
877054726,5.36.0,
877188666,5.36.1,
877226355,5.36.2,
877249942,5.37.0,
877337393,5.37.0,
877618426,5.37.0,
877647792,5.37.1,
877943114,5.37.2,
878037481,6.0.0,
878202355,6.0.1,
878738237,6.1.0,
879087115,6.2.0,
879401505,6.3.0,
879869153,6.4.0,
879936961,6.4.1,
880148309,6.4.3,
880248214,6.4.4,
880526735,6.5.0,
880610681,6.5.1,
881287830,6.6.0,
881974100,6.6.1,
882116064,6.7.0,
882413571,6.7.1,
882516497,6.7.2,
