appVersion,fileVersion,comments,filename,,,
4.5.3,2,It has very different structure from later Vectornator,OpenGameband Logo,,,
4.9.0,7,"properties did not exist in 4.9.0, format 7, but exists in later format.",logoround,,,
4.10.4,8,"Older Vectornator(4.10.4) uses actual path data for guides, fillGradient/fillColor",samples.,,,
4.11.3,10,longer text does not work,Build,,,
4.12.0,10,,Design,,,
4.13.2,13,"fill, not fillColor",,,,
4.13.3,13,,"b-day, dream",,,
4.13.4,14,Big Sur last,follow,,,
4.13.5,16,compoundPath has entire element inside,"(do) a3-poster-food, (an) art-u",,,
4.13.6,19,"singleStyles (Vectornator 4.13.6, format 19)",too many,,,
4.13.7,19,,,,,
5.0.0,19,"Rebranded, but basically the same",,,,
5.0.2,19,,,,,
5.0.3,19,,,,,
5.1.0,21,first Curve format,,,,
5.1.1,21,,,,,
5.1.2,21,,,,,
5.2.5,26,"weird text (no longer uses NSAttributedText), still uses singleStyle","(illust) retro, sale",,,
5.4.2,29,,"coffee-break-spotify, happy-mo",,,
5.7.1,40,Monterey last,,,,
5.12.0,40,New Curve holds path data without transforms,,,,
5.13.0,40,"abstractImage in Curve 5.13.0, format 40","do layout-7_, layout-15-o",,,
5.18.0,44,,,,,
5.18.3,44,BaseLine,,,,
5.18.4,44,,,,,
5.19.0,44,,,,,
5.20.0,45,,,,,
5.21.0,46,"seems to be identical to 44, except for drop shadows(5.23)",,,,
5.23.0,46,"added effects, but same format",,,,
5.24.0,46,,,,,
5.25.1,47,,,,,
5.26.0,47,exportSettings,,,,
5.27.0,47,,,,,
5.28.0,47,,,,,
5.29.0,47,,,,,
5.30.0,47,"finally smart input(calculation in inputBox), broke previous versions
no artboardSettings (settingsId), but exportSettings (exportSettingsId) & gridSettings (gridSettingsId)",,,,
,,delete '~/Library/Containers/com.linearity.vn/Data/Library/Application Support/cloudSDK',,,,
5.31.0~33,47,no format change,,,,
,,,,,,
,,,,,,
5.8.0,,,,,,
5.9.0,,,,,,
5.10.0,,,,,,
5.11.0,,,,,,
5.14.0,,,,,,
5.15.0,,,,,,
5.15.1,,,,,,
5.16.0,,,,,,
5.16.1,,,,,,
5.17.0,,,,,,
